LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
91,7090000,0,0,0,1910000,0,0.787777778,0,0,0,0.212222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021032249,0.019501207,0.007690418,0.199084379
92,7590000,0,0,120000,1290000,0,0.843333333,0,0,0.013333333,0.143333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022471308,0.019501207,0.007690418,0.386208028
93,7110000,0,1300000,230000,360000,0,0.79,0,0.144444444,0.025555556,0.04,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023162134,0.019501207,0.007690418,0.476037481
94,5970000,0,2410000,0,620000,0,0.663333333,0,0.267777778,0,0.068888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.020930547,0.019501207,0.007690418,0.185859869
95,7990000,0,0,0,1010000,0,0.887777778,0,0,0,0.112222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022576625,0.019501207,0.007690418,0.399902603
96,7130000,0,0,10000,1860000,0,0.792222222,0,0,0.001111111,0.206666667,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021149311,0.019501207,0.007690418,0.214306179
97,7590000,0,0,0,1410000,0,0.843333333,0,0,0,0.156666667,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021890236,0.019501207,0.007690418,0.310650102
98,5880000,0,0,2050000,1070000,0,0.653333333,0,0,0.227777778,0.118888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.028882571,0.019501207,0.007690418,1.219877066
99,8060000,0,0,0,940000,0,0.895555556,0,0,0,0.104444444,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022696743,0.019501207,0.007690418,0.415521781
100,7620000,290000,40000,60000,990000,0,0.846666667,0.032222222,0.004444444,0.006666667,0.11,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02214209,0.019501207,0.007690418,0.343399169
101,1220000,850000,6630000,160000,140000,0,0.135555556,0.094444444,0.736666667,0.017777778,0.015555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.016388841,0.019501207,0.007690418,-0.404707024
102,4580000,70000,3980000,50000,320000,0,0.508888889,0.007777778,0.442222222,0.005555556,0.035555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.019944168,0.019501207,0.007690418,0.057599083
103,7540000,0,0,0,1460000,0,0.837777778,0,0,0,0.162222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021804437,0.019501207,0.007690418,0.299493491
104,7640000,0,0,20000,1340000,0,0.848888889,0,0,0.002222222,0.148888889,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02207288,0.019501207,0.007690418,0.334399658
105,7650000,0,0,20000,1330000,0,0.85,0,0,0.002222222,0.147777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02209004,0.019501207,0.007690418,0.336631006
106,6660000,0,0,110000,2230000,0,0.74,0,0,0.012222222,0.247777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02082703,0.019501207,0.007690418,0.172399352
107,8060000,0,0,10000,930000,0,0.895555556,0,0,0.001111111,0.103333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022745166,0.019501207,0.007690418,0.421818319
108,3340000,5610000,0,0,50000,0,0.371111111,0.623333333,0,0,0.005555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.012268778,0.019501207,0.007690418,-0.940446855
109,90000,5810000,80000,0,0,0,0.015050167,0.971571906,0.013377926,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.005559886,0.019501207,0.007690418,-1.812817172
110,5050000,2850000,10000,1090000,0,0,0.561111111,0.316666667,0.001111111,0.121111111,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.021634324,0.019501207,0.007690418,0.277373366
111,90000,8810000,0,100000,0,0,0.01,0.978888889,0,0.011111111,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.005847851,0.019501207,0.007690418,-1.775372522
112,2290000,5490000,300000,920000,0,0,0.254444444,0.61,0.033333333,0.102222222,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.015198281,0.019501207,0.007690418,-0.559517864
113,1050000,7950000,0,0,0,0,0.116666667,0.883333333,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.007367923,0.019501207,0.007690418,-1.577714593
114,3770000,3540000,10000,1680000,0,0,0.418888889,0.393333333,0.001111111,0.186666667,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022008414,0.019501207,0.007690418,0.326017018
115,4410000,4490000,30000,10000,60000,0,0.49,0.498888889,0.003333333,0.001111111,0.006666667,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.014640834,0.019501207,0.007690418,-0.632003785
116,7780000,0,0,410000,810000,0,0.864444444,0,0,0.045555556,0.09,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.024201601,0.019501207,0.007690418,0.611201403
117,8390000,0,0,20000,590000,0,0.932222222,0,0,0.002222222,0.065555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.02335986,0.019501207,0.007690418,0.501748179
118,7850000,20000,0,100000,1030000,0,0.872222222,0.002222222,0,0.011111111,0.114444444,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022812314,0.019501207,0.007690418,0.430549704
119,8970000,0,0,10000,20000,0,0.996666667,0,0,0.001111111,0.002222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.024306701,0.019501207,0.007690418,0.624867761
120,7920000,0,0,200000,880000,0,0.88,0,0,0.022222222,0.097777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023424961,0.019501207,0.007690418,0.510213389
121,7590000,870000,60000,150000,330000,0,0.843333333,0.096666667,0.006666667,0.016666667,0.036666667,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022300776,0.019501207,0.007690418,0.36403342
122,6840000,2160000,0,0,0,0,0.76,0.24,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.019706693,0.019501207,0.007690418,0.026719746
123,8010000,0,0,0,990000,0,0.89,0,0,0,0.11,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022610945,0.019501207,0.007690418,0.4043653
124,7850000,0,0,320000,830000,0,0.872222222,0,0,0.035555556,0.092222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023885915,0.019501207,0.007690418,0.570152137
