LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
9382,2.13968,0.01456,1.955770553,0.67912856,0.27080211,0.01859694,0.007131405,-0.566079209,HIGH,LOW,HIGHLOW,2,4
9383,1.63478,0.016842,1.955770553,0.67912856,-0.472650647,0.01859694,0.007131405,-0.24608617,LOW,LOW,LOWLOW,4,3
9384,0.414194,0.020226,1.955770553,0.67912856,-2.269933331,0.01859694,0.007131405,0.22843462,LOW,HIGH,LOWHIGH,3,2
9385,0.386256,0.026303,1.955770553,0.67912856,-2.311071345,0.01859694,0.007131405,1.08058085,LOW,HIGH,LOWHIGH,3,2
9386,1.60432,0.019796,1.955770553,0.67912856,-0.517502244,0.01859694,0.007131405,0.168137947,LOW,HIGH,LOWHIGH,3,2
9387,0.426638,0.009076,1.955770553,0.67912856,-2.251609849,0.01859694,0.007131405,-1.335072121,LOW,LOW,LOWLOW,4,3
9388,0.383729,0.015827,1.955770553,0.67912856,-2.31479229,0.01859694,0.007131405,-0.388414362,LOW,LOW,LOWLOW,4,3
9389,0.35143,0.011121,1.955770553,0.67912856,-2.362351768,0.01859694,0.007131405,-1.048312364,LOW,LOW,LOWLOW,4,3
9390,0.602789,0.026176,1.955770553,0.67912856,-1.99223186,0.01859694,0.007131405,1.062772298,LOW,HIGH,LOWHIGH,3,2
9391,0.405894,0.01594,1.955770553,0.67912856,-2.282154876,0.01859694,0.007131405,-0.372568958,LOW,LOW,LOWLOW,4,3
9392,1.94192,0.015161,1.955770553,0.67912856,-0.020394597,0.01859694,0.007131405,-0.481804092,LOW,LOW,LOWLOW,4,3
9393,2.11468,0.022111,1.955770553,0.67912856,0.233990228,0.01859694,0.007131405,0.492758405,HIGH,HIGH,HIGHHIGH,1,1
9394,0.603781,0.03078,1.955770553,0.67912856,-1.990771164,0.01859694,0.007131405,1.708367368,LOW,HIGH,LOWHIGH,3,2
9395,2.07443,0.021006,1.955770553,0.67912856,0.174723099,0.01859694,0.007131405,0.337809979,HIGH,HIGH,HIGHHIGH,1,1
9396,1.79839,0.02609,1.955770553,0.67912856,-0.231738971,0.01859694,0.007131405,1.050712963,LOW,HIGH,LOWHIGH,3,2
9397,2.08311,0.021603,1.955770553,0.67912856,0.187504184,0.01859694,0.007131405,0.421524197,HIGH,HIGH,HIGHHIGH,1,1
9398,0.603483,0.033375,1.955770553,0.67912856,-1.991209962,0.01859694,0.007131405,2.072250775,LOW,HIGH,LOWHIGH,3,2
9399,2.02008,0.02256,1.955770553,0.67912856,0.094694069,0.01859694,0.007131405,0.555719349,HIGH,HIGH,HIGHHIGH,1,1
9400,1.98905,0.019825,1.955770553,0.67912856,0.049003162,0.01859694,0.007131405,0.172204467,HIGH,HIGH,HIGHHIGH,1,1
9401,1.94101,0.021888,1.955770553,0.67912856,-0.02173455,0.01859694,0.007131405,0.46148827,LOW,HIGH,LOWHIGH,3,2
9402,0.504966,0.010813,1.955770553,0.67912856,-2.136273807,0.01859694,0.007131405,-1.091501609,LOW,LOW,LOWLOW,4,3
9403,1.97099,0.023383,1.955770553,0.67912856,0.022410259,0.01859694,0.007131405,0.671124376,HIGH,HIGH,HIGHHIGH,1,1
