LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,S,Z-score,typemesli,typeLER,type,NUMBER,QUADRANT
3517,2.33809,0.022064,1.950166924,0.682104078,0.568715374,0.01832996,0.00692192,0.220777197,HIGH,HIGH,HIGHHIGH,1,1
3518,0.862161,0.020657,1.950166924,0.682104078,-1.595073184,0.01832996,0.00692192,0.532036375,LOW,HIGH,LOWHIGH,3,2
3519,2.43135,0.020485,1.950166924,0.682104078,0.705439377,0.01832996,0.00692192,0.492602949,HIGH,HIGH,HIGHHIGH,1,1
3520,2.5027,0.021469,1.950166924,0.682104078,0.810042182,0.01832996,0.00692192,0.494925715,HIGH,HIGH,HIGHHIGH,1,1
3521,2.39145,0.019877,1.950166924,0.682104078,0.646943905,0.01832996,0.00692192,0.590012344,HIGH,HIGH,HIGHHIGH,1,1
3522,2.37831,0.022032,1.950166924,0.682104078,0.627679983,0.01832996,0.00692192,0.583138673,HIGH,HIGH,HIGHHIGH,1,1
3523,0.721889,0.021759,1.950166924,0.682104078,-1.80071922,0.01832996,0.00692192,-0.508318965,LOW,HIGH,LOWHIGH,3,2
3524,0.765746,0.021775,1.950166924,0.682104078,-1.736422581,0.01832996,0.00692192,0.172413445,LOW,HIGH,LOWHIGH,3,2
3525,2.51427,0.022433,1.950166924,0.682104078,0.827004403,0.01832996,0.00692192,0.446091718,HIGH,HIGH,HIGHHIGH,1,1
3526,2.30047,0.022386,1.950166924,0.682104078,0.513562501,0.01832996,0.00692192,0.466965552,HIGH,HIGH,HIGHHIGH,1,1
3527,2.19809,0.014831,1.950166924,0.682104078,0.363468104,0.01832996,0.00692192,0.432154688,HIGH,LOW,HIGHLOW,2,4
3528,2.01566,0.019543,1.950166924,0.682104078,0.096016251,0.01832996,0.00692192,0.364280597,HIGH,HIGH,HIGHHIGH,1,1
3529,2.40909,0.021437,1.950166924,0.682104078,0.672805061,0.01832996,0.00692192,-0.559851347,HIGH,HIGH,HIGHHIGH,1,1
3530,0.824927,0.021581,1.950166924,0.682104078,-1.649660161,0.01832996,0.00692192,0.3833753,LOW,HIGH,LOWHIGH,3,2
3531,2.43734,0.021341,1.950166924,0.682104078,0.714221028,0.01832996,0.00692192,0.560760632,HIGH,HIGH,HIGHHIGH,1,1
3532,2.33321,0.020871,1.950166924,0.682104078,0.561561041,0.01832996,0.00692192,-1.21240848,HIGH,HIGH,HIGHHIGH,1,1
3533,0.765708,0.014474,1.950166924,0.682104078,-1.736478291,0.01832996,0.00692192,0.46348617,LOW,LOW,LOWLOW,4,3
3534,2.47027,0.021003,1.950166924,0.682104078,0.762498118,0.01832996,0.00692192,0.432154688,HIGH,HIGH,HIGHHIGH,1,1
3535,2.60712,0.022231,1.950166924,0.682104078,0.963127325,0.01832996,0.00692192,0.112939625,HIGH,HIGH,HIGHHIGH,1,1
3536,0.682194,0.009957,1.950166924,0.682104078,-1.858914151,0.01832996,0.00692192,0.615079379,LOW,LOW,LOWLOW,4,3
3537,2.42804,0.021557,1.950166924,0.682104078,0.700586745,0.01832996,0.00692192,0.594752792,HIGH,HIGH,HIGHHIGH,1,1
3538,2.30498,0.021341,1.950166924,0.682104078,0.520174395,0.01832996,0.00692192,0.508808136,HIGH,HIGH,HIGHHIGH,1,1
3539,1.83831,0.019131,1.950166924,0.682104078,-0.163988059,0.01832996,0.00692192,0.541217209,LOW,HIGH,LOWHIGH,3,2
3540,2.36254,0.022607,1.950166924,0.682104078,0.604560344,0.01832996,0.00692192,0.579325569,HIGH,HIGH,HIGHHIGH,1,1
3541,2.33776,0.022466,1.950166924,0.682104078,0.568231577,0.01832996,0.00692192,0.476288544,HIGH,HIGH,HIGHHIGH,1,1
